,Unnamed: 0,userId,movieId,rating,timestamp
0,3,1,47,5.0,964983815
1,4,1,50,5.0,964982931
2,6,1,101,5.0,964980868
3,8,1,151,5.0,964984041
4,9,1,157,5.0,964984100
5,10,1,163,5.0,964983650
6,11,1,216,5.0,964981208
7,13,1,231,5.0,964981179
8,15,1,260,5.0,964981680
9,18,1,333,5.0,964981179
10,21,1,362,5.0,964982588
11,25,1,457,5.0,964981909
12,28,1,527,5.0,964984002
13,31,1,553,5.0,964984153
14,35,1,596,5.0,964982838
15,36,1,608,5.0,964982931
16,38,1,661,5.0,964982838
17,44,1,919,5.0,964982475
18,45,1,923,5.0,964981529
19,46,1,940,5.0,964982176
20,48,1,954,5.0,964983219
21,50,1,1023,5.0,964982681
22,51,1,1024,5.0,964982876
23,52,1,1025,5.0,964982791
24,53,1,1029,5.0,964982855
25,55,1,1031,5.0,964982653
26,56,1,1032,5.0,964982791
27,58,1,1049,5.0,964982400
28,60,1,1073,5.0,964981680
29,61,1,1080,5.0,964981327
30,62,1,1089,5.0,964982951
31,64,1,1092,5.0,964983484
32,65,1,1097,5.0,964981680
33,67,1,1136,5.0,964981327
34,68,1,1196,5.0,964981827
35,69,1,1197,5.0,964981872
36,70,1,1198,5.0,964981827
37,71,1,1206,5.0,964983737
38,73,1,1210,5.0,964980499
39,74,1,1213,5.0,964982951
40,77,1,1220,5.0,964981909
41,78,1,1222,5.0,964981909
42,79,1,1224,5.0,964984018
43,80,1,1226,5.0,964983618
44,81,1,1240,5.0,964983723
45,82,1,1256,5.0,964981442
46,85,1,1270,5.0,964983705
47,86,1,1275,5.0,964982290
48,87,1,1278,5.0,964983414
49,88,1,1282,5.0,964982703
50,89,1,1291,5.0,964981909
51,90,1,1298,5.0,964984086
52,98,1,1517,5.0,964981107
53,100,1,1573,5.0,964982290
54,102,1,1587,5.0,964982346
55,103,1,1617,5.0,964982951
56,105,1,1625,5.0,964983504
57,108,1,1732,5.0,964981125
58,111,1,1804,5.0,964983034
59,114,1,1927,5.0,964981497
60,115,1,1954,5.0,964982176
61,118,1,2005,5.0,964981710
62,120,1,2018,5.0,964980523
63,122,1,2033,5.0,964982903
64,124,1,2048,5.0,964982791
65,126,1,2058,5.0,964982400
66,127,1,2078,5.0,964982838
67,128,1,2090,5.0,964982838
68,130,1,2094,5.0,964982653
69,134,1,2115,5.0,964982529
70,135,1,2116,5.0,964982876
71,136,1,2137,5.0,964982791
72,137,1,2139,5.0,964982791
73,138,1,2141,5.0,964982838
74,140,1,2161,5.0,964981710
75,146,1,2291,5.0,964983664
76,147,1,2329,5.0,964983263
77,149,1,2353,5.0,964983861
78,151,1,2387,5.0,964983123
79,153,1,2395,5.0,964981093
80,156,1,2427,5.0,964982242
81,158,1,2459,5.0,964983414
82,159,1,2470,5.0,964982588
83,162,1,2502,5.0,964981278
84,164,1,2529,5.0,964982242
85,165,1,2542,5.0,964981265
86,166,1,2571,5.0,964981888
87,167,1,2580,5.0,964983000
88,168,1,2596,5.0,964981144
89,173,1,2641,5.0,964982620
90,176,1,2654,5.0,964983393
91,178,1,2692,5.0,964981855
92,179,1,2700,5.0,964980985
93,180,1,2716,5.0,964983414
94,181,1,2761,5.0,964982703
95,184,1,2858,5.0,964980868
96,185,1,2872,5.0,964981680
97,186,1,2899,5.0,964982703
98,188,1,2944,5.0,964981872
99,189,1,2947,5.0,964982176
100,190,1,2948,5.0,964982191
101,191,1,2949,5.0,964981888
102,192,1,2959,5.0,964983282
103,194,1,2987,5.0,964982495
104,195,1,2991,5.0,964982271
105,196,1,2993,5.0,964982242
106,198,1,3033,5.0,964983762
107,199,1,3034,5.0,964982791
108,200,1,3052,5.0,964981208
109,201,1,3053,5.0,964984086
110,203,1,3147,5.0,964983873
111,208,1,3253,5.0,964981107
112,209,1,3273,5.0,964983536
113,210,1,3386,5.0,964983484
114,213,1,3441,5.0,964982328
115,214,1,3448,5.0,964984054
116,215,1,3450,5.0,964981144
117,219,1,3578,5.0,964980668
118,222,1,3671,5.0,964981589
119,223,1,3702,5.0,964983737
120,224,1,3703,5.0,964981909
121,225,1,3729,5.0,964982363
122,228,1,3793,5.0,964981855
123,231,1,5060,5.0,964984002
124,241,2,60756,5.0,1445714980
125,248,2,80906,5.0,1445715172
126,250,2,89774,5.0,1445715189
127,254,2,106782,5.0,1445714966
128,259,2,122882,5.0,1445715272
129,260,2,131724,5.0,1445714851
130,266,3,849,5.0,1306463611
131,282,3,2851,5.0,1306463925
132,285,3,3703,5.0,1306463603
133,287,3,4518,5.0,1306463770
134,289,3,5181,5.0,1306463718
135,290,3,5746,5.0,1306463708
136,292,3,5919,5.0,1306463825
137,294,3,6835,5.0,1306463670
138,296,3,7991,5.0,1306463684
139,298,3,70946,5.0,1306463815
140,307,4,125,5.0,964622758
141,309,4,162,5.0,945078571
142,311,4,176,5.0,964622565
143,313,4,215,5.0,945079078
144,315,4,232,5.0,964622684
145,318,4,260,5.0,945079259
146,319,4,265,5.0,964538468
147,321,4,319,5.0,945079182
148,322,4,342,5.0,964538500
149,331,4,457,5.0,945079259
150,332,4,475,5.0,945174290
151,333,4,492,5.0,945079872
152,335,4,538,5.0,945078636
153,339,4,593,5.0,964539986
154,342,4,608,5.0,964540008
155,348,4,898,5.0,964623347
156,352,4,908,5.0,945173902
157,353,4,910,5.0,945173989
158,354,4,912,5.0,945173902
159,355,4,914,5.0,945079670
160,356,4,919,5.0,945079521
161,357,4,920,5.0,945173602
162,358,4,930,5.0,964538571
163,361,4,1046,5.0,945173654
164,365,4,1077,5.0,945173692
165,367,4,1080,5.0,986934696
166,368,4,1084,5.0,945079259
167,369,4,1086,5.0,964539723
168,371,4,1103,5.0,964539723
169,372,4,1136,5.0,986934625
170,375,4,1188,5.0,964538500
171,376,4,1196,5.0,964538763
172,377,4,1197,5.0,964538763
173,380,4,1203,5.0,945174025
174,385,4,1250,5.0,945174008
175,390,4,1282,5.0,945079653
176,391,4,1283,5.0,945078690
177,396,4,1449,5.0,945079767
178,407,4,1733,5.0,945079143
179,409,4,1834,5.0,945174134
180,419,4,1947,5.0,945079653
181,421,4,1967,5.0,945078967
182,425,4,2078,5.0,945079521
183,428,4,2150,5.0,986934738
184,429,4,2174,5.0,964539855
185,430,4,2186,5.0,945174008
186,432,4,2204,5.0,964540008
187,438,4,2390,5.0,945079164
188,443,4,2583,5.0,945078863
189,444,4,2599,5.0,964622684
190,447,4,2692,5.0,945079013
191,452,4,2791,5.0,964539628
192,453,4,2843,5.0,945078814
193,454,4,2858,5.0,964539140
194,457,4,2926,5.0,986934870
195,462,4,3044,5.0,945079920
196,465,4,3083,5.0,964622487
197,473,4,3365,5.0,964538329
198,478,4,3508,5.0,964538351
199,483,4,3851,5.0,986849180
200,495,4,4034,5.0,986848753
201,501,4,4239,5.0,986848685
202,511,4,4765,5.0,1007569445
203,515,4,4967,5.0,1007569424
204,522,5,58,5.0,847435238
205,527,5,247,5.0,847435337
206,532,5,290,5.0,847435311
207,533,5,296,5.0,847434748
208,546,5,475,5.0,847435311
209,548,5,527,5.0,847434960
210,553,5,590,5.0,847434747
211,555,5,594,5.0,847435238
212,556,5,595,5.0,847434832
213,557,5,596,5.0,847435292
214,561,6,3,5.0,845554296
215,563,6,5,5.0,845553938
216,575,6,22,5.0,845553875
217,583,6,36,5.0,845553726
218,598,6,86,5.0,845556131
219,609,6,110,5.0,845553283
220,623,6,160,5.0,845553457
