,userId,movieId,rating,timestamp
3,1,47,5.0,964983815
4,1,50,5.0,964982931
6,1,101,5.0,964980868
8,1,151,5.0,964984041
9,1,157,5.0,964984100
10,1,163,5.0,964983650
11,1,216,5.0,964981208
13,1,231,5.0,964981179
15,1,260,5.0,964981680
18,1,333,5.0,964981179
21,1,362,5.0,964982588
25,1,457,5.0,964981909
28,1,527,5.0,964984002
31,1,553,5.0,964984153
35,1,596,5.0,964982838
36,1,608,5.0,964982931
38,1,661,5.0,964982838
44,1,919,5.0,964982475
45,1,923,5.0,964981529
46,1,940,5.0,964982176
48,1,954,5.0,964983219
50,1,1023,5.0,964982681
51,1,1024,5.0,964982876
52,1,1025,5.0,964982791
53,1,1029,5.0,964982855
55,1,1031,5.0,964982653
56,1,1032,5.0,964982791
58,1,1049,5.0,964982400
60,1,1073,5.0,964981680
61,1,1080,5.0,964981327
62,1,1089,5.0,964982951
64,1,1092,5.0,964983484
65,1,1097,5.0,964981680
67,1,1136,5.0,964981327
68,1,1196,5.0,964981827
69,1,1197,5.0,964981872
70,1,1198,5.0,964981827
71,1,1206,5.0,964983737
73,1,1210,5.0,964980499
74,1,1213,5.0,964982951
77,1,1220,5.0,964981909
78,1,1222,5.0,964981909
79,1,1224,5.0,964984018
80,1,1226,5.0,964983618
81,1,1240,5.0,964983723
82,1,1256,5.0,964981442
85,1,1270,5.0,964983705
86,1,1275,5.0,964982290
87,1,1278,5.0,964983414
88,1,1282,5.0,964982703
89,1,1291,5.0,964981909
90,1,1298,5.0,964984086
98,1,1517,5.0,964981107
100,1,1573,5.0,964982290
102,1,1587,5.0,964982346
103,1,1617,5.0,964982951
105,1,1625,5.0,964983504
108,1,1732,5.0,964981125
111,1,1804,5.0,964983034
114,1,1927,5.0,964981497
115,1,1954,5.0,964982176
118,1,2005,5.0,964981710
120,1,2018,5.0,964980523
122,1,2033,5.0,964982903
124,1,2048,5.0,964982791
126,1,2058,5.0,964982400
127,1,2078,5.0,964982838
128,1,2090,5.0,964982838
130,1,2094,5.0,964982653
134,1,2115,5.0,964982529
135,1,2116,5.0,964982876
136,1,2137,5.0,964982791
137,1,2139,5.0,964982791
138,1,2141,5.0,964982838
140,1,2161,5.0,964981710
146,1,2291,5.0,964983664
147,1,2329,5.0,964983263
149,1,2353,5.0,964983861
151,1,2387,5.0,964983123
153,1,2395,5.0,964981093
156,1,2427,5.0,964982242
158,1,2459,5.0,964983414
159,1,2470,5.0,964982588
162,1,2502,5.0,964981278
164,1,2529,5.0,964982242
165,1,2542,5.0,964981265
166,1,2571,5.0,964981888
167,1,2580,5.0,964983000
168,1,2596,5.0,964981144
173,1,2641,5.0,964982620
176,1,2654,5.0,964983393
178,1,2692,5.0,964981855
179,1,2700,5.0,964980985
180,1,2716,5.0,964983414
181,1,2761,5.0,964982703
184,1,2858,5.0,964980868
185,1,2872,5.0,964981680
186,1,2899,5.0,964982703
188,1,2944,5.0,964981872
189,1,2947,5.0,964982176
190,1,2948,5.0,964982191
191,1,2949,5.0,964981888
192,1,2959,5.0,964983282
194,1,2987,5.0,964982495
195,1,2991,5.0,964982271
196,1,2993,5.0,964982242
198,1,3033,5.0,964983762
199,1,3034,5.0,964982791
200,1,3052,5.0,964981208
201,1,3053,5.0,964984086
203,1,3147,5.0,964983873
208,1,3253,5.0,964981107
209,1,3273,5.0,964983536
210,1,3386,5.0,964983484
213,1,3441,5.0,964982328
214,1,3448,5.0,964984054
215,1,3450,5.0,964981144
219,1,3578,5.0,964980668
222,1,3671,5.0,964981589
223,1,3702,5.0,964983737
224,1,3703,5.0,964981909
225,1,3729,5.0,964982363
228,1,3793,5.0,964981855
231,1,5060,5.0,964984002
241,2,60756,5.0,1445714980
248,2,80906,5.0,1445715172
250,2,89774,5.0,1445715189
254,2,106782,5.0,1445714966
259,2,122882,5.0,1445715272
260,2,131724,5.0,1445714851
266,3,849,5.0,1306463611
282,3,2851,5.0,1306463925
285,3,3703,5.0,1306463603
287,3,4518,5.0,1306463770
289,3,5181,5.0,1306463718
290,3,5746,5.0,1306463708
292,3,5919,5.0,1306463825
294,3,6835,5.0,1306463670
296,3,7991,5.0,1306463684
298,3,70946,5.0,1306463815
307,4,125,5.0,964622758
309,4,162,5.0,945078571
311,4,176,5.0,964622565
313,4,215,5.0,945079078
315,4,232,5.0,964622684
318,4,260,5.0,945079259
319,4,265,5.0,964538468
